"Timestamp","Latitude","Longitude","Distance","Altitude","Speed"
"896018545","504719750","-998493490","10.87","285.79999999999995","1.773"
"896018560","504717676","-998501870","71.85","285.0","5.533"
"896018566","504716354","-998506792","108.02","284.0","6.485"
"896018575","504714055","-998515244","170.23","284.0","6.951"
"896018584","504711900","-998523278","229.27","285.0","6.224"
"896018594","504709729","-998531192","287.58","286.20000000000005","5.561"
"896018606","504707299","-998540018","352.64","286.79999999999995","5.281"
"896018613","504705967","-998544934","388.81","287.4","5.029"
"896018625","504703695","-998553170","449.53","288.0","5.402"
"896018636","504701326","-998561924","513.94","287.20000000000005","6.485"
"896018639","504700547","-998564668","534.24","286.20000000000005","6.979"
"896018646","504698641","-998571568","585.12","285.20000000000005","7.493"
"896018652","504696909","-998577942","632.04","283.79999999999995","8.034"
"896018655","504695977","-998581247","656.47","282.79999999999995","8.155"
"896018658","504695051","-998584562","680.95","281.6","8.034"
"896018666","504692926","-998592970","742.35","281.79999999999995","7.017"
"896018671","504692111","-998597619","775.38","282.6","6.401"
"896018681","504691299","-998606407","836.63","282.79999999999995","5.962"
"896018688","504691173","-998612263","877.12","283.6","5.654"
"896018699","504690996","-998620769","935.93","284.79999999999995","4.889"
"896018715","504690902","-998629455","996.01","285.20000000000005","2.286"
"896018724","504690919","-998630192","1001.45","285.4","0.914"
"896018743","504690924","-998630680","1004.94","285.6","1.717"
"896018787","504691253","-998633926","1028.6","285.79999999999995","0.0"
"896018851","504691172","-998633950","1029.89","285.79999999999995","1.4"
"896018868","504684780","-998633605","1090.02","286.20000000000005","5.328"
"896018879","504677722","-998633704","1155.74","285.6","6.466"
"896018882","504675542","-998633688","1176.04","284.79999999999995","6.951"
"896018885","504673200","-998633697","1197.85","283.79999999999995","7.427"
"896018893","504666467","-998633752","1260.53","282.79999999999995","7.968"
"896018894","504665599","-998633751","1268.62","282.4","8.034"
"896018899","504661165","-998633676","1309.9","281.4","8.342"
"896018904","504656517","-998633739","1353.18","280.4","8.78"
"896018907","504653635","-998633704","1380.01","279.20000000000005","8.92"
"896018914","504646885","-998633610","1442.86","278.4","9.293"
"896018915","504645873","-998633596","1452.28","278.0","9.452"
"896018922","504638364","-998633928","1522.3","276.79999999999995","10.217"
"896018924","504636279","-998634532","1542.16","275.20000000000005","9.592"
"896018925","504635317","-998635011","1551.71","273.79999999999995","9.424"
"896018930","504631201","-998637323","1593.24","272.6","6.951"
"896018932","504630451","-998638943","1606.45","272.6","6.783"
"896018935","504630652","-998641677","1625.36","272.6","6.102"
"896018937","504630408","-998643369","1637.28","273.4","5.682"
"896018938","504630203","-998644131","1642.87","273.79999999999995","5.589"
"896018940","504629659","-998645557","1653.94","274.20000000000005","5.486"
"896018946","504627046","-998648458","1685.53","274.20000000000005","4.908"
"896018948","504626088","-998648999","1695.2","275.4","4.852"
"896018949","504625585","-998649172","1700.03","275.20000000000005","4.861"
"896018951","504624528","-998649402","1709.99","275.20000000000005","5.151"
"896018953","504623425","-998649372","1720.27","274.79999999999995","5.402"
"896018960","504618911","-998648141","1763.29","274.20000000000005","6.606"
"896018962","504617469","-998648256","1776.73","273.79999999999995","6.755"
"896018964","504616089","-998648760","1790.05","273.79999999999995","6.625"
"896018966","504614850","-998649629","1803.05","273.6","6.476"
"896018969","504613462","-998651542","1821.57","273.6","5.776"
"896018972","504612723","-998653576","1837.24","274.4","4.899"
"896018974","504612491","-998654944","1846.94","274.4","4.759"
"896018980","504611674","-998658568","1873.71","274.79999999999995","4.488"
"896018982","504610818","-998659191","1882.77","275.20000000000005","4.535"
"896018984","504609895","-998659600","1891.81","275.4","4.432"
"896018992","504607616","-998660706","1914.78","275.79999999999995","2.855"
"896018998","504607388","-998663713","1935.73","276.4","3.518"
"896019004","504606997","-998666603","1956.06","277.6","3.303"
"896019016","504605105","-998672534","2001.1","278.6","4.115"
"896019029","504601240","-998678138","2054.26","279.79999999999995","4.124"
"896019044","504595830","-998683008","2114.9","280.6","4.115"
"896019046","504595132","-998683746","2123.16","280.79999999999995","4.143"
"896019061","504590399","-998690509","2187.59","281.0","4.805"
"896019070","504587816","-998696975","2238.48","279.79999999999995","6.261"
"896019081","504587080","-998706208","2302.98","279.20000000000005","5.561"
"896019092","504587179","-998715339","2366.14","279.79999999999995","5.962"
"896019097","504587265","-998719519","2395.05","280.20000000000005","5.85"
"896019098","504587183","-998720352","2400.85","280.79999999999995","5.505"
"896019103","504586969","-998723936","2425.73","279.6","3.312"
"896019114","504586735","-998727648","2451.63","278.6","4.087"
"896019117","504586387","-998729178","2463.09","278.4","4.348"
"896019119","504585370","-998729769","2473.44","278.20000000000005","5.486"
"896019123","504582781","-998730391","2497.97","277.4","6.765"
"896019126","504580448","-998730710","2519.8","276.20000000000005","7.577"
"896019130","504576978","-998731285","2552.35","275.0","8.295"
"896019133","504574238","-998731748","2578.06","273.79999999999995","8.547"
"896019134","504573319","-998731886","2586.67","272.4","8.528"
"896019141","504566977","-998732447","2645.94","272.79999999999995","8.351"
"896019143","504565203","-998731969","2662.78","272.20000000000005","8.37"
"896019145","504563563","-998730988","2679.5","271.79999999999995","8.248"
"896019149","504560644","-998728699","2710.93","272.0","7.269"
"896019158","504555981","-998724473","2763.3","273.0","4.945"
"896019162","504554045","-998723629","2782.29","273.4","4.712"
"896019163","504553554","-998723542","2786.89","273.6","4.684"
"896019167","504551574","-998723663","2805.38","273.79999999999995","5.029"
"896019172","504548714","-998724973","2833.57","272.6","6.382"
"896019173","504548108","-998725456","2840.12","272.4","6.699"
"896019175","504546852","-998726669","2854.51","271.6","7.353"
"896019177","504545724","-998728332","2870.08","270.79999999999995","8.071"
"896019178","504545232","-998729335","2878.37","270.79999999999995","8.426"
"896019180","504544566","-998731564","2894.99","270.0","8.267"
"896019181","504544377","-998732752","2903.38","269.0","8.491"
"896019183","504544217","-998735213","2920.46","269.0","8.5"
"896019189","504544356","-998742165","2968.54","268.0","7.67"
"896019198","504544234","-998751359","3032.15","267.4","6.905"
"896019206","504544309","-998759543","3088.75","267.4","6.942"
"896019215","504544101","-998768597","3151.37","268.20000000000005","6.727"
"896019218","504544041","-998771592","3172.08","267.0","6.839"
"896019223","504544025","-998776724","3207.55","265.79999999999995","7.25"
"896019231","504544333","-998784923","3264.32","264.79999999999995","7.007"
"896019241","504544341","-998794192","3328.4","264.6","5.776"
"896019248","504544427","-998799444","3364.75","265.0","5.02"
"896019252","504544983","-998802253","3384.84","264.6","4.899"
"896019257","504544879","-998805355","3406.83","265.4","4.787"
"896019264","504543998","-998810071","3440.45","265.6","4.609"
"896019268","504543872","-998812354","3456.34","265.79999999999995","3.424"
"896019275","504544678","-998815462","3479.5","265.4","3.042"
"896019280","504542426","-998816004","3500.84","264.6","5.225"
"896019282","504541043","-998816334","3513.92","263.4","7.278"
"896019284","504539288","-998816793","3530.56","262.0","8.762"
"896019286","504537290","-998817243","3549.42","260.79999999999995","9.489"
"896019287","504536270","-998817589","3559.2","260.6","9.517"
"896019288","504535254","-998818083","3569.25","259.79999999999995","10.152"
"896019289","504534198","-998818683","3579.93","258.6","10.749"
"896019291","504531988","-998819812","3601.93","257.0","10.87"
"896019295","504527193","-998820953","3647.26","255.20000000000005","11.318"
"896019297","504524817","-998821169","3669.42","253.79999999999995","10.572"
"896019301","504520598","-998820403","3709.15","254.20000000000005","9.125"
"896019303","504518779","-998819650","3726.86","255.20000000000005","8.342"
"896019307","504515846","-998818587","3755.11","256.20000000000005","5.608"
"896019309","504514719","-998818352","3765.54","256.79999999999995","4.563"
"896019311","504513882","-998818747","3773.65","257.6","4.208"
"896019313","504513013","-998819685","3784.0","256.6","6.354"
"896019317","504510857","-998822649","3812.72","255.20000000000005","7.698"
"896019319","504509650","-998824375","3829.12","254.60000000000002","8.379"
"896019320","504509157","-998825402","3837.53","253.79999999999995","8.594"
"896019321","504508779","-998826550","3846.2","253.20000000000005","8.892"
"896019322","504508485","-998827806","3855.3","252.0","9.181"
"896019323","504508183","-998829191","3865.28","250.39999999999998","10.133"
"896019324","504507882","-998830663","3875.83","249.20000000000005","11.337"
"896019325","504507635","-998832227","3886.88","248.79999999999995","11.365"
"896019327","504507385","-998835385","3908.87","248.39999999999998","10.534"
"896019328","504507323","-998836862","3919.09","247.79999999999995","10.282"
"896019335","504507179","-998846416","3985.17","248.79999999999995","8.594"
"896019336","504507131","-998847659","3993.77","249.0","8.556"
"896019344","504507059","-998856665","4056.07","248.20000000000005","7.213"
"896019352","504506827","-998864665","4111.41","248.0","6.765"
"896019359","504506509","-998871147","4156.31","246.79999999999995","6.578"
"896019362","504506442","-998874137","4176.99","245.79999999999995","7.194"
"896019366","504506533","-998878213","4205.17","245.20000000000005","6.895"
"896019370","504506401","-998882060","4231.8","244.79999999999995","6.392"
"896019379","504506099","-998890767","4292.06","243.39999999999998","6.727"
"896019388","504505826","-998899659","4353.58","242.79999999999995","6.671"
"896019394","504505923","-998905530","4394.18","242.39999999999998","6.513"
"896019403","504505836","-998913680","4450.53","243.20000000000005","5.981"
"896019406","504506079","-998916193","4468.06","243.39999999999998","5.533"
"896019407","504506133","-998916968","4473.44","243.60000000000002","5.16"
"896019410","504506220","-998919172","4488.7","244.20000000000005","4.693"
"896019411","504506229","-998919896","4493.7","244.39999999999998","4.88"
"896019414","504506070","-998921937","4507.94","244.79999999999995","4.628"
"896019416","504505898","-998923284","4517.36","245.0","4.591"
"896019420","504505768","-998925991","4536.12","245.0","4.88"
"896019425","504505667","-998929485","4560.29","245.60000000000002","4.703"
"896019434","504505405","-998936042","4605.72","244.60000000000002","5.16"
"896019435","504505258","-998936773","4610.95","244.39999999999998","5.365"
"896019443","504503680","-998942456","4652.95","245.79999999999995","4.684"
"896019449","504502704","-998946170","4680.2","247.0","4.497"
"896019457","504501817","-998951141","4715.55","248.0","4.479"
"896019463","504501335","-998954849","4741.57","249.20000000000005","4.292"
"896019474","504500727","-998961059","4784.91","250.60000000000002","4.199"
"896019482","504499739","-998965321","4815.87","251.60000000000002","3.77"
"896019487","504499599","-998968172","4835.73","251.39999999999998","4.591"
"896019489","504499297","-998969496","4845.3","251.0","4.777"
"896019491","504498760","-998970527","4854.04","251.20000000000005","5.029"
"896019493","504497999","-998971490","4863.79","251.60000000000002","4.759"
"896019501","504496138","-998976217","4900.74","252.79999999999995","4.647"
"896019514","504493350","-998983027","4954.5","254.0","3.536"
"896019524","504491622","-998986958","4986.08","255.20000000000005","3.163"
"896019529","504490695","-998988979","5002.5","255.39999999999998","3.191"
"896019546","504487074","-998996383","5063.81","255.60000000000002","4.245"
"896019551","504485781","-998998855","5084.71","255.20000000000005","4.703"
"896019556","504483710","-999001310","5110.39","255.0","5.067"
"896019564","504480227","-999004536","5149.79","256.79999999999995","5.001"
"896019567","504478789","-999005562","5164.93","257.20000000000005","4.815"
"896019570","504477325","-999006359","5179.64","257.79999999999995","4.815"
"896019577","504474132","-999007661","5210.72","258.79999999999995","3.844"
"896019582","504471957","-999008250","5231.37","260.20000000000005","4.264"
"896019587","504469812","-999008505","5251.43","261.20000000000005","3.863"
"896019591","504468125","-999008574","5267.13","262.4","3.648"
"896019595","504466550","-999008347","5281.84","263.4","3.695"
"896019599","504465209","-999008140","5294.31","264.6","2.799"
"896019603","504464054","-999008083","5305.01","265.6","2.65"
"896019609","504462371","-999007968","5320.39","266.79999999999995","2.65"
"896019616","504460519","-999007568","5337.62","267.79999999999995","1.791"
"896019630","504458080","-999007078","5358.52","268.20000000000005","1.624"
"896019633","504457520","-999007079","5363.31","268.4","2.006"
"896019640","504455689","-999006455","5380.83","268.79999999999995","2.79"
"896019657","504449175","-999005828","5441.47","269.6","3.798"
"896019662","504447179","-999005722","5460.07","270.0","3.91"
"896019668","504444954","-999005667","5480.77","271.0","2.827"
"896019673","504443214","-999006014","5497.2","272.20000000000005","3.62"
"896019679","504441051","-999005821","5517.42","273.20000000000005","3.49"
"896019684","504439082","-999005422","5535.93","274.20000000000005","3.266"
"896019688","504437717","-999005994","5549.21","275.4","3.434"
"896019691","504437277","-999007182","5558.33","276.4","3.294"
"896019695","504437248","-999009066","5571.32","277.6","3.639"
"896019699","504437192","-999011100","5585.37","278.6","2.566"
"896019715","504436922","-999017878","5632.41","279.6","3.014"
"896019729","504433602","-999024353","5691.91","279.4","4.553"
"896019742","504427084","-999024293","5752.6","279.20000000000005","4.525"
"896019746","504425267","-999024438","5769.68","278.79999999999995","4.143"
"896019748","504424849","-999025357","5777.27","279.6","3.611"
"896019762","504424585","-999034494","5840.51","279.0","5.356"
"896019767","504424584","-999038416","5867.64","278.20000000000005","5.486"
"896019779","504424374","-999047484","5930.37","278.20000000000005","4.74"
"896019785","504424487","-999051230","5955.96","278.0","4.059"
"896019788","504425416","-999051046","5965.33","278.0","3.042"
"896019791","504425984","-999050165","5973.35","278.0","2.267"
"896019805","504426837","-999050457","5981.77","278.20000000000005","0.0"
